claim_id,section,claim,required evidence,current evidence,status,source,reproduction script,result file,figure/table,blocker,final-use-allowed
C014,6.5,"Historical final pass used an 18 px interrogation window with 50% overlap and 9 px vector step.","Authoritative PIVlab session/settings or raw reconstruction.","18 px is repeatedly documented, but the exported lattice is nominally 18 px rather than the 9 px step implied by 50% overlap.",BLOCKED,"PARAMETER_CONTRADICTION_LEDGER.csv; ASCII_250_FORENSIC_REPORT.md; Documento_Limpio.pdf","",,"Figure 3","[BLOCKER — PIV SETTINGS] exported grid geometry does not directly reproduce the documented 18 px / 50% overlap configuration.",NO
C015,6.5,"Historical vector filtering used a specific normalized-median algorithm and threshold set.","Saved PIVlab session/settings and executable reproduction of vector classification.","Raw exports expose Vector type but not the historical filter thresholds; thesis and reconstruction scripts are non-authoritative for the saved session.",BLOCKED,"PARAMETER_CONTRADICTION_LEDGER.csv","",,"Figure 3","Exact filtering algorithm and thresholds unresolved.",NO
C016,6.2,"The camera model used in the experimental system is Chronos 1.4.","Manufacturer or asset identity plus project documentation.","Chronos 1.4 manufacturer datasheet asset and project documents agree.",VERIFIED,"PARAMETER_CONTRADICTION_LEDGER.csv; Chronos 1.4 Rev5 datasheet asset",,"",Figure 1,,YES
C017,6.2,"1280 × 1024 px at 1069 FPS is a manufacturer full-frame capability of Chronos 1.4.","Manufacturer datasheet.","Verified manufacturer capability; it is not yet proven to be the encoded canonical acquisition format.",VERIFIED,"PARAMETER_CONTRADICTION_LEDGER.csv; Chronos 1.4 Rev5 datasheet asset",,"",Figure 1,"Do not relabel capability as actual encoded resolution.",YES_SCOPED
C018,6.2,"The canonical encoded video resolution is 1280 × 1024 px.","Canonical ffprobe metadata.","Thesis/HardwareX documents conflict with later resampling code; canonical ffprobe not yet executed.",BLOCKED,"M0_STATUS.json; PARAMETER_CONTRADICTION_LEDGER.csv; GVT_Vortex_Analysis_Main.m","piv_tournament/scripts/run_m0_canonical.py","ffprobe.json",Figure 2,"[BLOCKER — CONTRADICTORY EVIDENCE] actual encoded acquisition dimensions unknown.",NO
C019,6.2,"1630 × 1345 is a post-processing bilinear resampling target in GVT_Vortex_Analysis_Main.m.","Executable script inspection.","Script sets imgW=1630, imgH=1345 and calls imresize(...,'bilinear').",VERIFIED,"GVT_Vortex_Analysis_Main.m",,"",Figure 1,"Whether this script generated the final publication arrays remains to be established.",YES_SCOPED
C020,7.3,"A retrospective tournament executed on 250 historical PIVlab fields, 1192 active cells, 11 algorithms, N=25/50/100/150, five spatial folds and three seeds.","Executed output and software test report.","REAL_250FIELD_TOURNAMENT_20260913.md records 60 scenarios and 660 evaluations with zero algorithm errors; 9/9 real-data tests passed.",VERIFIED,"REAL_250FIELD_TOURNAMENT_20260913.md","piv_tournament/scripts/run_astra_q1_superstudy.py","piv_tournament/results/REAL_250FIELD_TOURNAMENT_20260913.md",Figure 5/Table 2,"Retrospective downstream-data scope only; does not authorize final subset.",YES_SCOPED
C021,7.3,"The retrospective selector decision is UNRESOLVED_DECISION_RULE_DISAGREEMENT.","Predeclared decision-rule output.","Votes: uniform_baseline 3; temporal_quality_stratified 2; spatial_lower_tail 1; consensus 0.60 < required 0.80.",VERIFIED,"REAL_250FIELD_TOURNAMENT_20260913.md","piv_tournament/scripts/run_astra_q1_superstudy.py","piv_tournament/results/REAL_250FIELD_TOURNAMENT_20260913.md",Table 2,"No winner may be forced from this result.",YES
C022,7.3,"publication_selector = null after the retrospective tournament.","Executed decision output.","Explicitly recorded in the tournament report.",VERIFIED,"REAL_250FIELD_TOURNAMENT_20260913.md","piv_tournament/scripts/run_astra_q1_superstudy.py","piv_tournament/results/REAL_250FIELD_TOURNAMENT_20260913.md",Table 2,,YES
C023,6.6/7.3,"Mean direct-vector fraction across the retrospective 250-field tournament population is 0.5542080537.","Executed retrospective data load and aggregate metric.","Recorded in REAL_250FIELD_TOURNAMENT_20260913.md.",VERIFIED,"REAL_250FIELD_TOURNAMENT_20260913.md","piv_tournament/scripts/run_astra_q1_superstudy.py","piv_tournament/results/REAL_250FIELD_TOURNAMENT_20260913.md",Figure 4/Table 2,"Use only as retrospective downstream-PIV evidence until 250/250 cryptographic freeze closes.",YES_SCOPED
C024,7.3,"Uniform sampling is the best selector for publication.","Robust selector superiority across predeclared rules after canonical stationarity and full-population checks.","Decision rules disagree; consensus is below threshold; publication_selector is null.",BLOCKED,"REAL_250FIELD_TOURNAMENT_20260913.md","piv_tournament/scripts/run_astra_q1_superstudy.py","piv_tournament/results/REAL_250FIELD_TOURNAMENT_20260913.md",,"No robust winner exists at the current evidence level.",NO
C025,6.7/7.4,"Canonical acquisition is temporally stationary over the admissible publication interval.","M0 PASS followed by M1 stationarity tests on canonical raw frames.","M1 is locked because M0 is not PASS.",BLOCKED,"M0_STATUS.json","piv_tournament/scripts/run_temporal_robustness_v2.py","[RESULT PENDING — M1 STATIONARITY]",Figure 4/5,"M0 must pass first.",NO
C026,7.4,"Final publication subset size is converged and robust.","Canonical M1 plus sample-size convergence and selector robustness across admissible interval.","Only retrospective tournament sizes and an 11-field sanity regression exist.",NOT_YET_ANALYZED,"Q1_RESULTS_WORKING_DRAFT.md; tournament outputs",,"[RESULT PENDING — SAMPLE-SIZE CONVERGENCE]",Figure 5,"Canonical population and stationarity gate required.",NO
C027,7.6,"Expanded PIV uncertainty is approximately ±0.0408 m/s and median relative expanded uncertainty is approximately 12.63%.","Reproduced uncertainty budget from frozen PIV field with contributor-level propagation and coverage factor.","Final thesis documents ±0.0408 m/s and 12.63%; independent reproduction is pending.",DOCUMENTED_REPRODUCTION_PENDING,"Documento_Limpio.pdf; A4_PIV_incertidumbre.md",,"[RESULT PENDING — UNCERTAINTY REPRODUCTION]",Figure 6/Table 3,"Uncertainty budget has not been independently regenerated from frozen inputs.",NO
C028,7.7,"Fine-grid GCI is approximately 4.05%.","Mesh hierarchy, control variable, refinement ratio, Richardson extrapolation and GCI independently rerun.","Final thesis documents p≈1.93, r=1.3 and GCIfine,21=4.05%; reproduction pending.",DOCUMENTED_REPRODUCTION_PENDING,"Documento_Limpio.pdf",,"[RESULT PENDING — CFD GCI]",Table 4,"CFD is locked and GCI has not been independently reproduced.",NO
C029,7.8,"Approximately 60.41% of the comparison domain satisfies relative error ≤10% and 78.67% satisfies ≤15%.","Authoritative PIV/CFD arrays, common-coordinate registration, mask, interpolation and denominator rule; independent recomputation.","Thesis/result extract documents 60.41% and 78.67%; no independent reproduction yet.",DOCUMENTED_REPRODUCTION_PENDING,"extract_piv_results.txt; Documento_Limpio.pdf; Q1_RESULTS_WORKING_DRAFT.md",,"[RESULT PENDING — COMMON-COORDINATE VALIDATION]",Figure 8/9,"Registration, masking, interpolation and error definition must be reproduced.",NO
C030,7.5,"Final experimental median velocity field and derived radial/tangential profiles are publication-ready.","Frozen canonical subset, processing settings, masks, coordinate system and convergence.","Historical downstream fields exist, but final experimental subset is not frozen.",BLOCKED,"M0_STATUS.json; Q1_RESULTS_WORKING_DRAFT.md",,"[RESULT PENDING — EXPERIMENTAL HYDRODYNAMICS]",Figure 6/10,"M0/M1, PIV settings and subset freeze incomplete.",NO
C031,7.2/Discussion,"Historical HardwareX VDP >95% is equivalent to the direct/type-1 fraction in current PIVlab exports.","Reconstructed VDP definition and executable calculation on the same vector classes.","HardwareX-style draft states VDP >95%, whereas audited raw exports show direct/type-1 fractions of about 49.92-62.08% among active vectors. Definitions are not demonstrated to be identical.",BLOCKED,"Resultados.pdf; ASCII_250_FORENSIC_REPORT.md",,"[BLOCKER — DEFINITION AND REPRODUCTION REQUIRED]",Figure 3/4,"Do not equate VDP with direct-vector fraction until reconstructed.",NO
C032,7.7-7.9,"CFD can be used to choose the experimental subset.","Not applicable; prohibited by design to avoid circular validation.","CFD firewall is explicitly closed until experimental evidence and subset are frozen.",VERIFIED,"REAL_250FIELD_TOURNAMENT_20260913.md; M0_STATUS.json",,"",Figure 2,,NO_BY_DESIGN
C033,6.2,"Final operating flow rate is established for the canonical run.","Run log, calibrated flow measurement or other raw operating-condition evidence tied to canonical acquisition.","Prior thesis values exist but current frozen evidence does not re-establish the operating point.",BLOCKED,"PARAMETER_CONTRADICTION_LEDGER.csv",,"",Table 1,"Canonical run operating-condition evidence missing.",NO
C034,6.2,"The experimental basin diameter used by the current analysis workflow is 183.184 mm.","Prototype-to-CAD identity plus run-specific geometry evidence.","GVT_Vortex_Analysis_Main.m and thesis-oriented documents use 183.184 mm; final physical prototype revision identity remains unresolved.",DOCUMENTED_REPRODUCTION_PENDING,"GVT_Vortex_Analysis_Main.m; Documento_Limpio.pdf",,"",Figure 1,"Final CAD/prototype identity mapping required before final claim.",NO
C035,7.9,"Spatial discrepancy can be classified as within or outside measurement capability using an uncertainty-aware acceptance map.","Reproduced spatial uncertainty field plus registered PIV-CFD discrepancy field and explicit decision rule.","Planned analysis only.",NOT_YET_ANALYZED,"MANUSCRIPT_SKELETON.md",,"[RESULT PENDING — COMMON-COORDINATE VALIDATION]",Figure 9,"Requires uncertainty reproduction and CFD opening after experimental freeze.",NO
