trace_id,claim_id,numerical_or_technical_item,source_file,script_or_derivation,executed_output,figure_table,manuscript_sentence_target,trace_status
T011,C013,"32 vs 36 vs 64 px first-pass contradiction","generar_serie_pivlab.py; Documento_Limpio.pdf; GVT_Vortex_Analysis_Main.m","evidence comparison only","piv_tournament/results/PARAMETER_CONTRADICTION_LEDGER.csv",Figure 3,"Methods 6.5 blocker statement",TRACEABLE_CONTRADICTION
T012,C014,"18 px window / claimed 50% overlap vs ~18 px exported pitch","Documento_Limpio.pdf; raw PIVlab grids","grid-pitch derivation","piv_tournament/results/ASCII_250_FORENSIC_REPORT.md; PARAMETER_CONTRADICTION_LEDGER.csv",Figure 3,"Methods 6.5 grid-contradiction statement",TRACEABLE_CONTRADICTION
T013,C017,"Chronos 1.4 full-frame capability 1280×1024 @1069 FPS","Chronos 1.4 Rev5 manufacturer datasheet asset","document inspection","PARAMETER_CONTRADICTION_LEDGER.csv",Figure 1/Table 1,"Methods 6.2 manufacturer-capability sentence",TRACEABLE_SCOPED
T014,C019,"1630×1345 bilinear resampling target","GVT_Vortex_Analysis_Main.m","script inspection: imgW/imgH + imresize","PARAMETER_CONTRADICTION_LEDGER.csv",Figure 1/Table 1,"Methods 6.2 processing-resolution distinction",TRACEABLE
T015,C020,"250 fields; 1192 cells; 11 algorithms; N=25/50/100/150; 5 folds; 3 seeds; 60 scenarios; 660 evaluations; 0 errors; 9/9 tests","Recovered historical PIVlab population and tournament run","piv_tournament/scripts/run_astra_q1_superstudy.py","piv_tournament/results/REAL_250FIELD_TOURNAMENT_20260913.md",Figure 5/Table 2,"Methods 6.6 and Results 7.3 execution paragraph",TRACEABLE_RETROSPECTIVE
T016,C021,"Vote split 3/2/1; consensus 0.60; threshold 0.80","Tournament decision output","piv_tournament/scripts/run_astra_q1_superstudy.py","piv_tournament/results/REAL_250FIELD_TOURNAMENT_20260913.md",Figure 5/Table 2,"Results 7.3 unresolved-decision paragraph",TRACEABLE_RETROSPECTIVE
T017,C022,"publication_selector=null","Tournament decision output","piv_tournament/scripts/run_astra_q1_superstudy.py","piv_tournament/results/REAL_250FIELD_TOURNAMENT_20260913.md",Table 2,"Results 7.3 selector-freeze sentence",TRACEABLE_RETROSPECTIVE
T018,C023,"Mean direct-vector fraction 0.5542080537 across retrospective 250 fields","Tournament-loaded PIVlab fields","piv_tournament/scripts/run_astra_q1_superstudy.py","piv_tournament/results/REAL_250FIELD_TOURNAMENT_20260913.md",Figure 4/Table 2,"Results 7.2/7.3 retrospective population sentence",TRACEABLE_RETROSPECTIVE
T019,C027,"±0.0408 m/s; 12.63%","Documento_Limpio.pdf; A4_PIV_incertidumbre.md","historical thesis calculation not independently rerun","[RESULT PENDING — UNCERTAINTY REPRODUCTION]",Figure 6/Table 3,"Do not use as final Results claim",DOCUMENTED_REPRODUCTION_PENDING
T020,C028,"GCIfine,21=4.05%; p≈1.93; r=1.3","Documento_Limpio.pdf","historical Richardson/GCI calculation not independently rerun","[RESULT PENDING — CFD GCI]",Table 4,"Do not use as final Results claim",DOCUMENTED_REPRODUCTION_PENDING
T021,C029,"60.41% at ≤10%; 78.67% at ≤15%","extract_piv_results.txt; Documento_Limpio.pdf","historical comparison algorithm not independently rerun","[RESULT PENDING — COMMON-COORDINATE VALIDATION]",Figures 8–9,"Do not use as final Results claim",DOCUMENTED_REPRODUCTION_PENDING
T022,C031,"Historical VDP >95%","Resultados.pdf HardwareX-style draft","historical VDP calculation unavailable","[BLOCKER — DEFINITION AND REPRODUCTION REQUIRED]",Figure 3/4,"Discussion 8.2 only as unresolved definition conflict",BLOCKED
