blocker_id,category,description,evidence_conflict_or_missing_item,required_resolution,affected_sections,submission_severity,status
B011,Prototype identity,"Final physical prototype/CAD revision identity is unresolved.","V1/V2/V3 assets exist; analysis script uses tank diameter 183.184 mm; final physical revision mapping is not frozen.","Create prototype-to-CAD identity map with traceable photographs/CAD/revision evidence.","6.2; Figure 1",MAJOR,OPEN
B012,Stationarity,"Canonical temporal stationarity has not been tested.","M1 is locked while M0 is not PASS.","After M0 PASS, execute stationarity and admissible-interval tests on canonical raw acquisition.","6.6; 7.3; 7.4",CRITICAL,LOCKED_BY_B001
B013,Sample convergence,"Final PIV sample-size convergence is not established.","Retrospective selector sizes and an 11-field sanity regression are insufficient to freeze publication N.","After M1, execute repeated-subset convergence for field statistics/vector quality/selected hydrodynamic metrics.","6.7; 7.4; Figure 5",CRITICAL,LOCKED_BY_B012
B014,Publication subset,"Final experimental subset is not frozen.","Retrospective tournament returns publication_selector=null and cannot authorize sampling outside historical window.","Resolve canonical stationarity/convergence and execute predeclared selector robustness without CFD.","6.6–6.7; 7.3–7.6",CRITICAL,OPEN
B015,Measurement uncertainty,"Published-style uncertainty values are not independently reproduced.","Thesis documents ±0.0408 m/s and median relative expanded uncertainty 12.63%, but source inputs/propagation have not been rerun from frozen data.","Reconstruct contributor-level budget, coverage factor, spatial map and vector-class treatment using final experimental result.","6.8; 7.6; Figure 6; Table 3",CRITICAL,OPEN
B016,CFD numerical verification,"Fine-grid GCI and numerical verification are not independently reproduced.","Thesis documents GCIfine,21=4.05% with r=1.3 and p≈1.93; CFD is intentionally locked.","After experimental subset freeze, open CFD case data and rerun mesh hierarchy/Richardson/GCI and convergence checks.","6.9; 7.7; Table 4",CRITICAL,LOCKED_BY_B014
B017,Registration,"Common-coordinate PIV–CFD registration is not reproduced.","Historical comparison exists but final transformation, masks, interpolation and sensitivity are not frozen.","Define/register fields after experimental and CFD freeze; perturb transform and interpolation to quantify sensitivity.","6.10; 7.8; 7.9; Figures 7–10",CRITICAL,LOCKED_BY_B014_B016
B018,Validation metrics,"Historical 60.41%/78.67% agreement fractions are not reproduced.","Values are documented in thesis/results extract, but denominator treatment, mask, registration and interpolation have not been independently rerun.","Recompute after B017 using predeclared error definition; report RMSE/MAE and threshold fractions only if retained.","7.8; 7.9; Figures 8–9",CRITICAL,LOCKED_BY_B017
B019,Hydrodynamic outputs,"Publication-ready experimental vortex profiles/center/vorticity/circulation are not yet generated from frozen data.","Historical fields exist, but final subset and processing chain are not frozen.","Generate only after B004–B014 are resolved; test sensitivity before promoting derived quantities.","7.5; Figure 6; Figure 10",MAJOR,LOCKED
B020,Archival reproducibility,"Permanent final data/code package and archival identifier are not frozen.","GitHub branch is active and evidence package remains incomplete.","After Gates 0–8, archive final scripts/manifests/data permissible for release and record immutable identifier.","11 Data and Code Availability; Supplement",MAJOR,OPEN
