parameter,claimed_value,raw_evidence,script_evidence,thesis_value,old_HardwareX_value,status,accepted_value,reason,blocker,manuscript_location
first_interrogation_pass,"32 vs 36 vs 64 px","ASCII header does not expose window","generar_serie_pivlab.py=32; GVT_Vortex_Analysis_Main.m comment=64","36 px",,BLOCKED_INSUFFICIENT_EVIDENCE,,"Mutually conflicting non-session evidence; no authoritative Sett.mat/session found",historical PIVlab session/settings,PIV processing
final_interrogation_pass,"18 px",ASCII coordinates encode ~18 px node pitch,"generar_serie_pivlab.py uses 18 px second pass",18 px,,DOCUMENTED_WITH_GRID_CONTRADICTION,,"18 px window is repeatedly documented but its overlap/grid relation is inconsistent",authoritative session/settings,PIV processing
final_overlap,"claimed 50%",exported node spacing 18.000377 px,"generar_serie_pivlab.py second step=9 px",50%,,BLOCKED,"exported pitch ~=18 px; claimed 18px+50% would imply 9px","Raw coordinate geometry contradicts a straightforward interpretation of the documented final pass",historical session/settings or proof of resampling/decimation,PIV processing
exported_grid_pitch,"0.0034310519 m = 18.00037721 px",PIVlab coordinate columns,existing audit computes grid pitch,,,VERIFIED,"~18 px","Measured directly from raw exported coordinates",none for exported grid itself,PIV output QA
filtering,"normalized median / thresholds unresolved",vector-type column exists in exports,"reconstruction scripts contain non-authoritative filter parameters","normalized median 3x3 described; exact historical thresholds unresolved",,BLOCKED,,"Documentary algorithm description is not the saved historical settings",PIVlab session/settings and executable filter reproduction,PIV validation
lens,"16 mm fixed focal length",,,documented,16 mm documented,DOCUMENTED_NOT_REPRODUCED,,"Old draft/thesis claim not yet tied to purchase/model evidence",BOM/instrument evidence,Hardware specifications
laser,"532 nm",,,documented,532 nm documented,DOCUMENTED_NOT_REPRODUCED,,"Asset/prose claim not yet reconstructed from hardware evidence",laser model/specification evidence,Hardware specifications
optics,"cylindrical sheet-forming optic",,,documented,documented,DOCUMENTED_NOT_REPRODUCED,,"Exact part/specification not frozen",BOM/part evidence,Hardware specifications
tracer,"alginate + TiO2 protocol asset exists","Tracer protocol asset located in Drive",,documented,documented,VERIFIED_ASSET_SPEC_NOT_FROZEN,,"Protocol exists but formulation/size/density evidence still requires audit",tracer protocol characterization audit,Hardware build / operation
basin,"D = 183.184 mm",,"GVT_Vortex_Analysis_Main.m uses 183.184 mm",documented,,DOCUMENTED_SCRIPT_CONSISTENT,,"Geometry value appears consistently in analysis path but final CAD identity V1/V2/V3 is unresolved",final CAD mapping,Test section
channel,"extended inlet; nominal 1 m in old draft",,,documented,1 m documented,DOCUMENTED_NOT_REPRODUCED,,"Final CAD revision has not been mapped",final CAD mapping,Test section
flow_rate,unknown in current frozen evidence,,,various prior thesis context,,BLOCKED,,"Not re-established from raw experimental evidence in this gate",flow-control/run log evidence,Operating condition
CAD,"V1/V2/V3 assets exist","Drive CAD assets",,documented draft final name,old draft contains repository filenames,ASSETS_VERIFIED_IDENTITY_BLOCKED,,"Final physical prototype not mapped unambiguously to revision",prototype-to-CAD identity map,Design files
BOM,"old draft values not authoritative",,,documented,documented,BLOCKED,,"Requires evidence-backed supplier/model/cost reconstruction",purchase/specification evidence,Bill of materials
safety,"laser/water/electrical controls require evidence-backed wording",,,documented generic statements,documented generic statements,BLOCKED,,"Generic prose is not sufficient for final HardwareX safety instructions",verified component hazards/PPE/operating procedure,Safety
